name,type_of_food,district,rating,total_ratings,price_level,takeout,delivery,dine_in,wheelchair_accessible_entrance,free_street_parking,population_density
Eisdiele im Zenner,Korean,Treptow-Köpenick,4.5,420,PRICE_LEVEL_MODERATE,True,False,True,True,False,1.753
mani mogo — KOREAN DINER,Korean,Treptow-Köpenick,4.5,820,PRICE_LEVEL_MODERATE,True,False,True,True,True,1.753
Omy Berlin,Korean,Treptow-Köpenick,4.6,290,NO_PRICE_DATA,True,True,True,True,True,1.753
Softeisladen Rahnsdorf,Korean,Treptow-Köpenick,4.9,8,NO_PRICE_DATA,True,False,True,False,False,1.753
Chikin-Shack,Korean,Treptow-Köpenick,4.3,15,NO_PRICE_DATA,True,True,True,False,False,1.753
Sakura Garten,Korean,Marzahn-Hellersdorf,4.6,1647,PRICE_LEVEL_MODERATE,True,True,True,True,True,4.723
Kokoro Restaurant,Korean,Marzahn-Hellersdorf,4.6,402,PRICE_LEVEL_MODERATE,True,False,True,True,True,4.723
King Wok,Korean,Marzahn-Hellersdorf,4.4,3818,PRICE_LEVEL_INEXPENSIVE,True,False,True,True,True,4.723
Gaststätte Kaulsdorfer Busch,Korean,Marzahn-Hellersdorf,4.3,347,PRICE_LEVEL_MODERATE,True,False,True,False,True,4.723
Kleine Eis Insel,Korean,Marzahn-Hellersdorf,4.2,21,NO_PRICE_DATA,True,False,True,False,False,4.723
Emba Emilia,Korean,Marzahn-Hellersdorf,4.8,280,PRICE_LEVEL_MODERATE,True,True,True,True,True,4.723
"Jetpong Hand-Pulled Noodles, Dumplings & Soups",Korean,Lichtenberg,4.5,85,NO_PRICE_DATA,True,True,True,False,False,4.984
Tacuza,Korean,Lichtenberg,4.7,413,PRICE_LEVEL_MODERATE,True,True,True,False,True,4.984
Dong Da Restaurant,Korean,Lichtenberg,4.7,594,PRICE_LEVEL_MODERATE,True,True,True,False,True,4.984
Milchstraße Gelateria Italiana,Korean,Lichtenberg,4.8,49,PRICE_LEVEL_MODERATE,True,False,True,False,False,4.984
Café Brunchella,Korean,Lichtenberg,4.9,486,NO_PRICE_DATA,True,True,True,False,True,4.984
KimMami,Korean,Reinickendorf,4.5,365,PRICE_LEVEL_MODERATE,True,True,True,True,True,3.009
Didi Softeis,Korean,Reinickendorf,4.8,39,NO_PRICE_DATA,True,False,True,False,True,3.009
Flamingo,Korean,Reinickendorf,4.7,173,PRICE_LEVEL_MODERATE,True,False,True,False,True,3.009
Cantina Mexicana Que Pasa | Mexikanisches Restaurant Berlin Mitte | Cocktailbar,Mexican,Mitte,4.7,6393,PRICE_LEVEL_MODERATE,True,False,True,False,False,10.08
El Amigo Taqueria,Mexican,Mitte,4.8,1358,NO_PRICE_DATA,True,False,True,True,False,10.08
Taco Loco Cantina Mexicana,Mexican,Mitte,4.4,506,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Tex-Mex,Mexican,Mitte,4.3,2064,PRICE_LEVEL_MODERATE,True,False,True,False,False,10.08
El Zarape | Mexican Food & Cocktail bar,Mexican,Mitte,4.7,534,NO_PRICE_DATA,True,True,True,False,False,10.08
Cancún,Mexican,Mitte,4.2,4790,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
TACO & GRINGO,Mexican,Mitte,4.8,393,NO_PRICE_DATA,True,True,True,True,False,10.08
Maria Bonita,Mexican,Mitte,4.4,2553,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Dolores Mitte,Mexican,Mitte,4.3,5789,PRICE_LEVEL_INEXPENSIVE,True,True,True,False,False,10.08
Chupenga,Mexican,Mitte,4.4,1497,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Berlin Burrito Company,Mexican,Mitte,4.2,1259,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Cocina Mexicana by Ilayda,Mexican,Mitte,4.8,76,NO_PRICE_DATA,True,True,True,False,False,10.08
Mexicali,Mexican,Mitte,4.5,184,NO_PRICE_DATA,True,True,True,False,False,10.08
El Amigo Taqueria @ KERB,Mexican,Mitte,4.6,62,NO_PRICE_DATA,True,False,True,True,False,10.08
Chupenga | Checkpoint Charlie,Mexican,Mitte,4.5,112,NO_PRICE_DATA,True,True,True,False,False,10.08
Vedis Mexican Restaurant,Mexican,Mitte,4.7,551,NO_PRICE_DATA,True,True,True,False,False,10.08
Girasol,Mexican,Mitte,4.5,1853,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
XOLO,Mexican,Mitte,4.7,235,NO_PRICE_DATA,True,True,True,False,False,10.08
Que Pasa Mexican restaurant,Mexican,Mitte,4.4,218,NO_PRICE_DATA,True,True,True,False,False,10.08
Bocadillos Mexican Grill,Mexican,Mitte,3.9,254,NO_PRICE_DATA,True,True,True,True,False,10.08
EL Diablo Restaurant & Cocktail Bar,Mexican,Mitte,4.8,366,NO_PRICE_DATA,True,True,True,False,False,10.08
Amigo Cohen,Mexican,Mitte,4.2,230,NO_PRICE_DATA,True,False,True,True,False,10.08
Fase Lunar,Mexican,Mitte,4.8,382,PRICE_LEVEL_MODERATE,True,False,True,False,False,10.08
Hola México Restaurant Prenzlauer Berg,Mexican,Mitte,4.6,399,PRICE_LEVEL_MODERATE,True,True,True,True,True,10.08
PocoLoco,Mexican,Mitte,4.1,1854,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Chupenga | Bhf Friedrichstrasse,Mexican,Mitte,4.2,509,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Que Pasa,Mexican,Mitte,3.7,2332,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
Mishba,Mexican,Mitte,4.0,345,PRICE_LEVEL_INEXPENSIVE,True,False,True,False,False,10.08
Tulum Mexican Restaurant,Mexican,Mitte,4.3,882,PRICE_LEVEL_MODERATE,True,True,True,True,True,10.08
Dolores Wittenbergplatz,Mexican,Mitte,4.3,3170,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
Cancún - Charlottenburg,Mexican,Mitte,4.7,2777,PRICE_LEVEL_MODERATE,True,False,True,True,True,10.08
Berlin Burrito Company,Mexican,Mitte,4.6,605,NO_PRICE_DATA,True,True,True,True,False,10.08
Frida&Diego,Mexican,Mitte,4.6,553,PRICE_LEVEL_MODERATE,True,False,True,False,False,10.08
Vamos,Mexican,Mitte,4.1,1238,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
El Pasto,Mexican,Mitte,4.1,350,PRICE_LEVEL_MODERATE,True,True,True,True,True,10.08
